time	V(6)	V(10)	V(11)	V(vdd)	I(Rz)	Id(M1)
5.232832276349519e-004	2.637665e+001	2.204491e+000	4.958763e-002	1.799824e+001	2.105960e-002	4.697939e-005
5.247918427584430e-004	2.637633e+001	2.166009e+000	4.987442e-002	1.799823e+001	2.105869e-002	4.702453e-005
5.264226280818907e-004	2.637598e+001	2.146432e+000	4.960916e-002	1.799823e+001	2.105776e-002	4.698110e-005
5.288153018268016e-004	2.637547e+001	2.160293e+000	4.813085e-002	1.799823e+001	2.105652e-002	4.674315e-005
5.326896323794017e-004	2.637465e+001	2.267995e+000	4.360386e-002	1.799822e+001	2.105476e-002	4.601878e-005
5.366896323792947e-004	2.637380e+001	2.477812e+000	3.652600e-002	1.799821e+001	2.105323e-002	4.489435e-005
5.406896323791877e-004	2.637296e+001	2.783571e+000	2.717575e-002	1.799821e+001	2.105198e-002	4.342364e-005
5.446896323790806e-004	2.637211e+001	3.164530e+000	1.611795e-002	1.799820e+001	2.105095e-002	4.170653e-005
5.486896323789736e-004	2.637126e+001	3.594249e+000	4.047399e-003	1.799820e+001	2.105006e-002	3.986041e-005
5.526896323788666e-004	2.637041e+001	4.043853e+000	-8.277467e-003	1.799820e+001	2.104923e-002	3.800664e-005
5.566896323787596e-004	2.636956e+001	4.484354e+000	-2.008223e-002	1.799819e+001	2.104838e-002	3.626144e-005
5.606896323786526e-004	2.636872e+001	4.888701e+000	-3.062515e-002	1.799819e+001	2.104742e-002	3.472841e-005
5.646896323785455e-004	2.636787e+001	5.233357e+000	-3.924378e-002	1.799819e+001	2.104630e-002	3.349350e-005
5.686896323784385e-004	2.636702e+001	5.505702e+000	-4.559177e-002	1.799818e+001	2.104496e-002	3.259458e-005
5.716361861638486e-004	2.636640e+001	5.654251e+000	-4.865509e-002	1.799817e+001	2.104383e-002	3.216436e-005
5.732832276370559e-004	2.636605e+001	5.711771e+000	-4.958763e-002	1.799817e+001	2.104313e-002	3.203412e-005
5.747918427581045e-004	2.636573e+001	5.745640e+000	-4.987442e-002	1.799817e+001	2.104243e-002	3.199438e-005
5.764226280817741e-004	2.636538e+001	5.762912e+000	-4.960916e-002	1.799817e+001	2.104162e-002	3.203191e-005
5.788153018266851e-004	2.636488e+001	5.750917e+000	-4.813085e-002	1.799816e+001	2.104032e-002	3.224000e-005
5.826896323792852e-004	2.636406e+001	5.656129e+000	-4.360386e-002	1.799815e+001	2.103801e-002	3.287999e-005
5.866896323791782e-004	2.636321e+001	5.469056e+000	-3.652600e-002	1.799814e+001	2.103536e-002	3.388955e-005
5.906896323790711e-004	2.636236e+001	5.191363e+000	-2.717575e-002	1.799813e+001	2.103245e-002	3.523998e-005
5.946896323789641e-004	2.636152e+001	4.836904e+000	-1.611795e-002	1.799812e+001	2.102931e-002	3.686120e-005
5.986896323788571e-004	2.636067e+001	4.425523e+000	-4.047399e-003	1.799810e+001	2.102601e-002	3.865976e-005
6.026896323787501e-004	2.635982e+001	3.981554e+000	8.277467e-003	1.799809e+001	2.102261e-002	4.052600e-005
6.066896323786430e-004	2.635897e+001	3.532633e+000	2.008223e-002	1.799808e+001	2.101919e-002	4.234034e-005
6.106896323785360e-004	2.635813e+001	3.107954e+000	3.062515e-002	1.799806e+001	2.101583e-002	4.398181e-005
6.146896323784290e-004	2.635728e+001	2.736120e+000	3.924378e-002	1.799805e+001	2.101263e-002	4.533759e-005
6.186896323783220e-004	2.635644e+001	2.435832e+000	4.559177e-002	1.799804e+001	2.100963e-002	4.634351e-005
6.216361861637321e-004	2.635581e+001	2.269435e+000	4.865509e-002	1.799803e+001	2.100758e-002	4.683090e-005
6.232832276369393e-004	2.635546e+001	2.204351e+000	4.958763e-002	1.799803e+001	2.100651e-002	4.697930e-005
6.247918427579879e-004	2.635514e+001	2.165869e+000	4.987442e-002	1.799802e+001	2.100560e-002	4.702444e-005
6.264226280816576e-004	2.635480e+001	2.146293e+000	4.960916e-002	1.799802e+001	2.100467e-002	4.698101e-005
6.288153018265685e-004	2.635429e+001	2.160153e+000	4.813085e-002	1.799801e+001	2.100343e-002	4.674307e-005
